attachment_id,title,source_export,source_url,archive_path,local_path
5009,na-safety,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/na-safety.jpg,uploads/sites/5/2025/11/na-safety.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/na-safety.jpg
5012,96081,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/96081.jpg,uploads/2025/11/96081.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/96081.jpg
8729,favicon,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/favicon.png,uploads/2025/11/favicon.png,/home/ubuntu/webdev-static-assets/na-south-africa/favicon.png
8730,cropped-favicon.png,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/cropped-favicon.png,uploads/2025/11/cropped-favicon.png,/home/ubuntu/webdev-static-assets/na-south-africa/cropped-favicon.png
8737,29680,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/29680.jpg,uploads/sites/2/2025/11/29680.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/29680.jpg
8738,129014,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/129014.jpg,uploads/sites/2/2025/11/129014.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/129014.jpg
8739,zapper,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/zapper.png,uploads/sites/2/2025/11/zapper.png,/home/ubuntu/webdev-static-assets/na-south-africa/zapper.png
8740,2150951473,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/2150951473.jpg,uploads/sites/2/2025/11/2150951473.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2150951473.jpg
8741,559,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/559.jpg,uploads/sites/2/2025/11/559.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/559.jpg
8742,584,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/584.jpg,uploads/sites/2/2025/11/584.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/584.jpg
8743,2733704_12016-scaled-1,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/2733704_12016-scaled-1.jpg,uploads/sites/3/2025/11/2733704_12016-scaled-1.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2733704_12016-scaled-1.jpg
8744,143021-e1763291423474,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/143021-e1763291423474.jpg,uploads/2025/11/143021-e1763291423474.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/143021-e1763291423474.jpg
8745,2151118274,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/2151118274.jpg,uploads/sites/2/2025/11/2151118274.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2151118274.jpg
8746,helping-each-other-scaled-1,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/helping-each-other-scaled-1.jpg,uploads/sites/2/2025/11/helping-each-other-scaled-1.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/helping-each-other-scaled-1.jpg
8747,123795,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/123795.jpg,uploads/sites/2/2025/11/123795.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/123795.jpg
8748,2147770870-e1763292893626,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/2147770870-e1763292893626.jpg,uploads/2025/11/2147770870-e1763292893626.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2147770870-e1763292893626.jpg
8749,120044,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/120044.jpg,uploads/sites/2/2025/11/120044.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/120044.jpg
8750,2151930388,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/2151930388.jpg,uploads/2025/11/2151930388.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2151930388.jpg
8751,banner-wc-001-e1763484626801,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/banner-wc-001-e1763484626801.webp,uploads/sites/2/2025/11/banner-wc-001-e1763484626801.webp,/home/ubuntu/webdev-static-assets/na-south-africa/banner-wc-001-e1763484626801.webp
8752,29376,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/29376.jpg,uploads/2025/11/29376.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/29376.jpg
8753,home-banner,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/home-banner.jpg,uploads/sites/3/2025/11/home-banner.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/home-banner.jpg
8777,logo,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/logo.png,uploads/2025/11/logo.png,/home/ubuntu/webdev-static-assets/na-south-africa/logo.png
4,favicon,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/favicon.png,uploads/2025/11/favicon.png,/home/ubuntu/webdev-static-assets/na-south-africa/favicon.png
5,cropped-favicon.png,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/cropped-favicon.png,uploads/2025/11/cropped-favicon.png,/home/ubuntu/webdev-static-assets/na-south-africa/cropped-favicon.png
6,29680,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/29680.jpg,uploads/sites/2/2025/11/29680.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/29680.jpg
7,129014,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/129014.jpg,uploads/sites/2/2025/11/129014.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/129014.jpg
8,zapper,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/zapper.png,uploads/sites/2/2025/11/zapper.png,/home/ubuntu/webdev-static-assets/na-south-africa/zapper.png
9,2150951473,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/2150951473.jpg,uploads/sites/2/2025/11/2150951473.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2150951473.jpg
10,559,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/559.jpg,uploads/sites/2/2025/11/559.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/559.jpg
11,584,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/584.jpg,uploads/sites/2/2025/11/584.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/584.jpg
12,2733704_12016-scaled-1,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/2733704_12016-scaled-1.jpg,uploads/sites/3/2025/11/2733704_12016-scaled-1.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2733704_12016-scaled-1.jpg
13,143021-e1763291423474,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/143021-e1763291423474.jpg,uploads/2025/11/143021-e1763291423474.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/143021-e1763291423474.jpg
14,2151118274,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/2151118274.jpg,uploads/sites/2/2025/11/2151118274.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/2151118274.jpg
15,helping-each-other-scaled-1,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/helping-each-other-scaled-1.jpg,uploads/sites/2/2025/11/helping-each-other-scaled-1.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/helping-each-other-scaled-1.jpg
16,123795,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/pta/wp-content/uploads/sites/4/2025/11/123795.jpg,uploads/sites/2/2025/11/123795.jpg,/home/ubuntu/webdev-static-assets/na-south-africa/123795.jpg
