area,total_staged,qa_not_started,high_priority,inactive,online,in_person
Johannesburg,143,143,1,7,37,98
KwaZulu-Natal,62,62,0,0,2,60
Pretoria,42,42,3,14,2,24
Western Cape,81,81,0,0,10,71
