legacy_id,meeting_name,area,schedule,format,source_address,source_coordinates,legacy_geocode,address_verified,map_pin_confirmed,spelling_checked,contact_confirmed,priority,qa_status,source_url
4185,Forest Town - Thursday - 19:30,Johannesburg,Thursday 19:30,in_person,"1 Talton Rd, Forest Town, Johannesburg, 2193, South Africa","-26.1710512, 28.0341868",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/forest-town-thursday-1930/
3472,Edgemead Thursday Night Meeting,Western Cape,Thursday 19:45,in_person,"Louis Thibault Dr & Letchworth Dr, Edgemead, Cape Town, 7407, South Africa","-33.87035, 18.5482145",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/na-edgemead-narcotics-anonymous-cape-town-keep-it-simple-na-thursday-na-meeting-na-support-group-western-cape-na-speaker-meeting-edgemead/
3473,Bellville Boston,Western Cape,Thursday 20:00,in_person,"Lingen St, Lingen, Cape Town, 7530, South Africa","-33.898792, 18.624305",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/bellville/
3474,Heathfield Welcome Home,Western Cape,Thursday 20:00,in_person,"Gordon Rd & 2nd Rd, Heathfield, Cape Town, 7945, South Africa","-34.045342, 18.468191",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/welcome-home/
3475,Observatory (Beginners Group),Western Cape,Thursday 20:00,in_person,"Rawson St, Observatory, Cape Town, 7925, South Africa","-33.9373782, 18.4692416",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/beginners-group/
4412,Page by Page Online,Western Cape,Thursday 20:00,online,"Western Cape, South Africa","-33.2277918, 21.8568586",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/page-by-page/
4344,Serenity@Sunrise,Johannesburg,Friday 06:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/serenitysunrise-4/
4335,JFT Meeting,Johannesburg,Friday 09:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/jft-online-5/
4409,Klerksdorp - Friday - 10:00,Johannesburg,Friday 10:00,in_person,"63 Alex St, Alabama, Klerksdorp, 2577, South Africa","-26.8728027, 26.5884986",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/klerksdorp-friday-1000/
4244,Diepsloot - Friday - 10:30,Johannesburg,Friday 10:30,in_person,"Albert St, Diepsloot West 4, Diepsloot, 2189, South Africa","-25.9401271, 28.0188551",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/diepsloot-friday-1030-2/
4256,Snake Park – Friday – 12:00,Johannesburg,Friday 12:00,in_person,"Azalia Ave, Soweto, 1874, South Africa","-26.237257, 27.8092432",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/snake-park-friday-1200-2/
3476,Freaky Fridays,Western Cape,Friday 12:15,in_person,"294 Main Rd, Kenilworth, Cape Town, 7708, South Africa","-33.9977512, 18.4680595",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/freaky-fridays/
4266,Soweto - Friday - 16:00,Johannesburg,Friday 16:00,in_person,"Unity Blvd, Roodepoort 237-Iq, Roodepoort 237-Iq, Roodepoort, 1725, South Africa","-26.18307, 27.86926",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/soweto-friday-1600/
3567,Scottburgh Friday,Kwazulu-Natal,Friday 16:30,in_person,"Ann Arbor Rd, Scottburgh South, Scottburgh, 4180, South Africa","-30.299018, 30.746164",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/scottburgh-friday/
4288,Kagiso - Friday - 16:30,Johannesburg,Friday 16:30,in_person,"2998 Kagiso Ave, Kagiso, Johannesburg, 1754, South Africa","-26.1588623, 27.7831238",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/kagiso-friday-1700/
3477,"Living Miracles, Mosselbay",Western Cape,Friday 17:00,in_person,"113 Montagu St, Mossel Bay Central, Mossel Bay, 6500, South Africa","-34.1831084, 22.1395401",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/living-miracles/
4355,Johannesburg Friday 5:00 pm,Johannesburg,Friday 17:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/johannesburg-friday-500-pm/
3682,Friday Second Chance Meeting,Pretoria,Friday 17:00,inactive,"Dr Ribane Cres, Mamelodi - MD1, Pretoria, 0122, South Africa","-25.705918, 28.357379",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/friday-second-chance-meeting/
4133,Toekomsrus - Friday - 18h00,Johannesburg,Friday 18:00,in_person,"2 Diamant St, Toekomsrus, Randfontein, 1765, South Africa","-26.2020704, 27.7082052",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/toekomsrus-wednesdays-18h00-2/
4205,Vosloorus - Friday - 18:00,Johannesburg,Friday 18:00,in_person,"3859 Sebati Rd, Vosloorus, 1475, South Africa","-26.3478219, 28.1900734",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/vosloorus-friday-1800/
4227,Ferndale - Friday - 18:00,Johannesburg,Friday 18:00,in_person,"420 York Ave, Ferndale, Randburg, 2194, South Africa","-26.0803796, 27.9951143",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/ferndale-friday-1800-2/
4234,Boskruin - Friday - 18:00,Johannesburg,Friday 18:00,in_person,"Hawken Ave & President Fouche Dr, Boskruin, Randburg, 2188, South Africa","-26.0877802, 27.9581916",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/boskriun-friday-2/
4249,Soweto Dube - Friday - 18:00,Johannesburg,Friday 18:00,in_person,"Mahalefele Rd, Dube, Soweto, 1801, South Africa","-26.2383639, 27.8948896",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/soweto-dube-fridays-1830-3-2/
