pdf_day,pdf_region,pdf_time,pdf_name,pdf_venue_excerpt,csv_name,csv_address,name_similarity,matched
wednesday,JOHANNESBURG,7 pm,Norscort - Wednesday - 19:00,"16b Penguin Dr, Norscot, Fourways, Sandton, 2055, 16B Penguin Dr 7 pm       Lenasia South - Wednesday - 19:00                 O",Norscort - Wednesday - 19:00,"16B Penguin Dr, Norscot, Sandton, 2055, South Africa",1.25,True
wednesday,JOHANNESBURG,7 pm,Lenasia South - Wednesday - 19:00,"1954 Peacock str, Lenasia South, 1827, Peacock St 7 pm       Crosby - Wednesday - 19:00",Lenasia South - Wednesday - 19:00,"Peacock St, Lenasia South, Lenasia, 1829, South Africa",1.25,True
wednesday,JOHANNESBURG,7 pm,Crosby - Wednesday - 19:00,"65 Foyle Ave, Crosby, Johannesburg, 2092, 65 Foyle Ave 7 pm       Boskruin - Wednesday - 19:00                  LIT, O",Crosby - Wednesday - 19:00,"65 Foyle Ave, Crosby, Johannesburg, 2092, South Africa",1.25,True
wednesday,JOHANNESBURG,7 pm,Boskruin - Wednesday - 19:00,"71 CR Swart DrBoskruin, Randburg, 2188, 71 CR Swart Dr 7 pm       Secunda Recovery Group - Wednesday -",Boskruin - Wednesday - 19:00,"71 CR Swart Dr, Boskruin, Randburg, 2188, South Africa",1.25,True
wednesday,JOHANNESBURG,7 pm,Secunda Recovery Group - Wednesday -,"19:00 Saint Peter’s United Church, 2 Van Eck St 7:30 pm    Brackenhurst - Wednesday - 19:30",Secunda Recovery Group - Wednesday - 19:00,"2 Van Eck St, Secunda, 2302, South Africa",1.164,True
wednesday,JOHANNESBURG,7:30 pm,Brackenhurst - Wednesday - 19:30,"(BRACKENHURST METHODIST CHURCH) 9 Toinette St, Brackenhurst, Alberton, 1453, South Africa, 9 Toinette St",Brackenhurst - Wednesday - 19:30,"9 Toinette St, Brackenhurst, Alberton, 1453, South Africa",1.25,True
wednesday,JOHANNESBURG,7:30 pm,Edenvale - Wednesday - 19:30,"(Edenvale Methodist Church) 57 6th Ave, Edenvale, 1610, South Africa, 57 6th Ave 7:30 pm    Eldorado Park - Wednesday - 19:30",Edenvale - Wednesday - 19:30,"57 6th Ave, Edenvale, 1609, South Africa",1.25,True
wednesday,JOHANNESBURG,7:30 pm,Eldorado Park - Wednesday - 19:30,"Albertus Pop Recreation Centre, Ametis St & Goud St 7:30 pm    Northcliff - Wednesday - 19:30",Eldorado Park - Wednesday - 19:30,"Ametis St &amp; Goud St, Eldorado Park, Soweto, 1811, South Africa",1.25,True
wednesday,JOHANNESBURG,7:30 pm,Northcliff - Wednesday - 19:30,"Northcliff Union Church. Cnr Dawn and Pendoring road., Pendoring Rd 7:30 pm    Parkhurst - Wednesday - 19:30",Northcliff - Wednesday - 19:30,"Pendoring Rd, Northcliff, Randburg, 2115, South Africa",1.25,True
wednesday,JOHANNESBURG,7:30 pm,Parkhurst - Wednesday - 19:30,"Parkhurst Recreation Centre, 12th St & 5th Ave 7:30 pm    Lenasia Ext.10 - Wednesday - 19:30",Parkhurst - Wednesday - 19:30,"12th St &amp; 5th Ave, Parkhurst, Randburg, 2193, South Africa",1.25,True
wednesday,JOHANNESBURG,7:30 pm,Lenasia Ext.10 - Wednesday - 19:30,"Sharicrest Primary School, Volta St",Lenasia Ext.10 - Wednesday - 19:30,"Volta St, Lenasia, 1821, South Africa",1.25,True
wednesday,JOHANNESBURG,7:30 pm,Wanderers - Wednesday - 19:30,"Wanderers Cricket Stadium, 35 Corlette Drive, Illovo, Corlett Dr KWAZULU-NATAL: KWAZULU-NATAL",Wanderers - Wednesday - 19:30,"Corlett Dr, Illovo, Sandton, South Africa",1.25,True
wednesday,KWAZULU-NATAL,6 pm,Salt Rock Wednesday,"Salt Rock Library, 14 Garden Rd 6:30 pm   Howick Wednesday                           O St Josephs Catholic Church, 21 Buchanan",Salt Rock Wednesday,"14 Garden Rd, Umhlali Beach, Ballito, 4420, South Africa",1.25,True
wednesday,KWAZULU-NATAL,6:30 pm,Howick Wednesday,"St Josephs Catholic Church, 21 Buchanan St 7 pm      Buffelsdale Wednesday Meeting              O",Howick Wednesday,"21 Buchanan St, Howick, 3290, South Africa",1.25,True
wednesday,KWAZULU-NATAL,7 pm,Buffelsdale Wednesday Meeting,"Buffelsdale Community Hall, 85 Coronation Rd 7 pm      City Group Wednesday                       O",Buffelsdale Wednesday Meeting,"85 Coronation Rd, Buffelsdale, oThongathi, 4401, South Africa",1.25,True
wednesday,KWAZULU-NATAL,7 pm,City Group Wednesday,"St Thomas Anglican Church, 190 Saint Thomaslaan 7 pm      Westville Wednesday                        O",City Group Wednesday,"190 Saint Thomaslaan, Musgrave, Durban, 4001, South Africa",1.25,True
wednesday,KWAZULU-NATAL,7 pm,Westville Wednesday,"Westville Methodist Church, 38 Jan Hofmeyr Rd 7 pm      Austerville Wednesday                      C",Westville Wednesday,"38 Jan Hofmeyr Rd, Grayleigh, Westville, 3629, South Africa",1.25,True
wednesday,KWAZULU-NATAL,7 pm,Austerville Wednesday,"Wings of Love Building, 2 Petingo Grove 7:30 pm   Chatsworth Wednesday - Step Work           C Depot Road Memorial Primary School, 369",Austerville Wednesday,"2 Petingo Grove, Austerville, Bluff, 4052, South Africa",1.25,True
wednesday,KWAZULU-NATAL,7:30 pm,Chatsworth Wednesday - Step Work,"Depot Road Memorial Primary School, 369 Lenny Naidu Dr 7:30 pm   NA PMB Group Wednesday                     O",Chatsworth Wednesday - Step Work,"369 Lenny Naidu Dr, Bayview, Durban, 4092, South Africa",1.25,True
wednesday,KWAZULU-NATAL,7:30 pm,NA PMB Group Wednesday,"Jesus International Ministry, Swallow Rd PRETORIA: PRETORIA 6:45 pm   Wednesday New Life Meeting                 O",NA PMB Group Wednesday,"Swallow Rd, Belfort Estate, Pietermaritzburg, 3201, South Africa",1.25,True
wednesday,PRETORIA,6:45 pm,Wednesday New Life Meeting,"Waterkloof, 442 Koedoesnek Ave 7 pm      I can't, we can - Wednesday                C Lynnwoodrif Gemeente, 296 Lancia St",Wednesday New Life Meeting,"442 Koedoesnek Ave, Waterkloof Ridge, Pretoria, 0181, South Africa",1.25,True
wednesday,PRETORIA,7 pm,"I can't, we can - Wednesday","Lynnwoodrif Gemeente, 296 Lancia St 7 pm      Wednesday Pride Meeting                    O Lyttleton, 113 Monument Ave","I can't, we can - Wednesday","296 Lancia St, Lynnwood Ridge, Pretoria, 0040, South Africa",1.25,True
wednesday,PRETORIA,7 pm,Wednesday Pride Meeting,"Lyttleton, 113 Monument Ave 7:30 pm   Laudium Serenity Group Meeting             O Laudium, 229 Pearl St",Wednesday Pride Meeting,"113 Monument Ave, Lyttelton Manor, Centurion, 0157, South Africa",1.25,True
wednesday,PRETORIA,7:30 pm,Laudium Serenity Group Meeting,"Laudium, 229 Pearl St PRETORIA: RUSTENBURG 7 pm      Proteapark Wednesday Meeting               O",Laudium Serenity Group Meeting,"229 Pearl St, Laudium, Centurion, 0037, South Africa",1.25,True
wednesday,RUSTENBURG,7 pm,Proteapark Wednesday Meeting,"Rustenburg, 25 Witstinkhout Ave WESTERN CAPE: WESTERN CAPE 1:05 pm   Green market square Express",Proteapark Wednesday Meeting,"25 Witstinkhout Ave, Protea Park, Rustenburg, 0305, South Africa",1.25,True
wednesday,WESTERN CAPE,1:05 pm,Green market square Express,"Methodist Church, Burg Street, 151 Longmarket St 1:10 pm   Durbanville Wednesday Lunch                C",Green market square Express,"151 Longmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",1.25,True
wednesday,WESTERN CAPE,1:10 pm,Durbanville Wednesday Lunch,"Durbanville Presbyterian Church, Cnr Louw St and Hafele St. Durbanville., 7 Louw St",Durbanville Wednesday Lunch,"7 Louw St, Durbanville, Cape Town, 7550, South Africa",1.25,True
wednesday,WESTERN CAPE,6 pm,Green Point JFT (F2F),"Salesians Institute, 2 Somerset Rd 7 pm      Manenberg New Hope Meeting 316 Manenberg Avenue, Manenberg, 316",Green Point JFT (F2F),"2 Somerset Rd, Green Point, Cape Town, 8001, South Africa",1.25,True
wednesday,WESTERN CAPE,7 pm,Manenberg New Hope Meeting,"316 Manenberg Avenue, Manenberg, 316 Manenberg Ave 7 pm      Knysna JFT (F2F)",Manenberg New Hope Meeting,"316 Manenberg Ave, Manenberg, Cape Town, 7767, South Africa",1.25,True
wednesday,WESTERN CAPE,7 pm,Knysna JFT (F2F),"Knysna, Trotter St 7 pm      Somerset West NG Helderberg Gemeente Church, 82",Knysna JFT (F2F),"Trotter St, Knysna Central, Knysna, 6570, South Africa",1.25,True
wednesday,WESTERN CAPE,7 pm,Somerset West,"NG Helderberg Gemeente Church, 82 Firmount Road 7:20 pm   Milnerton Wednesdays We Can",Somerset West,"82 Firmount Road, Goede Hoop, Cape Town, 7130, South Africa",1.25,True
wednesday,WESTERN CAPE,7:20 pm,Milnerton Wednesdays We Can,"Milnerton, 37 Ascot Rd 7:30 pm   Miracles and Milestones East Claremont Congregational Church,",Milnerton Wednesdays We Can,"37 Ascot Rd, Milnerton, Cape Town, 7441, South Africa",1.25,True
wednesday,WESTERN CAPE,7:30 pm,Miracles and Milestones,"East Claremont Congregational Church, Craven Hall, 8 Franklin Rd 7:30 pm   Wednesday Woodstock",Miracles and Milestones,"8 Franklin Rd, Claremont, Cape Town, 7708, South Africa",1.25,True
wednesday,WESTERN CAPE,7:30 pm,Wednesday Woodstock,"St Agnes Catholic Church, 26 Dublin St",Wednesday Woodstock,"26 Dublin St, Woodstock, Cape Town, 7915, South Africa",1.25,True
wednesday,WESTERN CAPE,8 pm,Wednesday Grow and Change,"Meadowridge Primary School, off A Z Berman Drive, 55 Kreupelhout St 8 pm   Grassy Park Courage to Change",Wednesday Grow and Change,"55 Kreupelhout St, Lentegeur, Cape Town, 7786, South Africa",1.25,True
wednesday,WESTERN CAPE,8 pm,Grassy Park Courage to Change,"St Clements Primary School, St Clements Way, 278 7th Ave",Grassy Park Courage to Change,"278 7th Ave, Lotus River, Cape Town, 7805, South Africa",1.25,True
thursday,JOHANNESBURG,11:30 am,Zola Soweto - Thursday - 11:30,"3131 Bolani Rd, Zola, Soweto, 1878, 3131 Bolani Rd 4 pm       Bram Fischerville - Thursday - 16:00",Zola Soweto - Thursday - 11:30,"3131 Bolani Rd, Zola, Soweto, 1878, South Africa",1.25,True
thursday,JOHANNESBURG,4 pm,Bram Fischerville - Thursday - 16:00,"5634 Unity Boulevard ext 2, Bram Fischerville, Unity Blvd 4 pm       Braam Fischer - Thursday - 16:00",Bram Fischerville - Thursday - 16:00,"Unity Blvd, Roodepoort 237-Iq, Roodepoort 237-Iq, Roodepoort, 1725, South Africa",1.25,True
thursday,JOHANNESBURG,4 pm,Braam Fischer - Thursday - 16:00,"Braamficher phase 1 amandla boulevard, Amandla Blvd 5:30 pm    Alabama Klerksdorp - Thursday - 17:30",Braam Fischer - Thursday - 16:00,"Amandla Blvd, Braamfischerville, Soweto, 1875, South Africa",1.25,True
thursday,JOHANNESBURG,5:30 pm,Alabama Klerksdorp - Thursday - 17:30,"86 Buitekant St, Alabama, Klerksdorp, 86 Buitekant St 6 pm       Diepkloof - Thursday - 18:00",Alabama Klerksdorp - Thursday - 17:30,"86 Buitekant St, Alabama, Klerksdorp, 2577, South Africa",1.25,True
thursday,JOHANNESBURG,6 pm,Diepkloof - Thursday - 18:00,"7644 Eben Cuyler Dr, Diepkloof Zone 1, Diepmeadow, 1862, South Africa, 7644 Eben Cuyler Dr",Diepkloof - Thursday - 18:00,"7644 Eben Cuyler Dr, Diepkloof Zone 1, Diepkloof, 1862, South Africa",1.25,True
thursday,JOHANNESBURG,6 pm,Central Western Jabavu Soweto -,"Thursday - 18:00 929 Leoatleng Street, Central Western Jabavu, 929 Leoatleng St",Central Western Jabavu Soweto - Thursday - 18:00,"929 Leoatleng St, Jabavu, Soweto, 1800, South Africa",1.045,True
thursday,JOHANNESBURG,6 pm,Klerksdorp - Thursday - 18:00,"Alabama Grace Community Church, 63 Alex St 6:30 pm    Riverlea - Thursday - 18:30",Klerksdorp - Thursday - 18:00,"63 Alex St, Alabama, Klerksdorp, 2577, South Africa",1.25,True
thursday,JOHANNESBURG,6:30 pm,Riverlea - Thursday - 18:30,"108 Colorado Dr 6:30 pm    Walkers Fruit Farms - Thursday - 18:30           O 166 South Road, Walkers Fruit Farms, 166",Riverlea - Thursday - 18:30,"108 Colorado Dr, Riverlea, Johannesburg, 2093, South Africa",1.25,True
thursday,JOHANNESBURG,6:30 pm,Walkers Fruit Farms - Thursday - 18:30,"166 South Road, Walkers Fruit Farms, 166 South Rd 7 pm       Krugersdorp - Thursday - 19:00",Walkers Fruit Farms - Thursday - 18:30,"166 South Rd, Ophir AH, De Deur, 1961, South Africa",1.25,True
thursday,JOHANNESBURG,7 pm,Krugersdorp - Thursday - 19:00,"29 Dippenaar Rd 7:15 pm    Glenvista - Thursday - 19:15 10 Tehore RdMulbarton, Johannesburg",Krugersdorp - Thursday - 19:00,"29 Dippenaar Rd, Noordheuwel, Krugersdorp, 1739, South Africa",1.25,True
thursday,JOHANNESBURG,7:15 pm,Glenvista - Thursday - 19:15,"10 Tehore RdMulbarton, Johannesburg South, 2091, 10 Tehore Rd 7:30 pm    Weltevreden Park - Thursday - 19:30",Glenvista - Thursday - 19:15,"10 Tehore Rd, Mulbarton, Johannesburg South, 2059, South Africa",1.25,True
